id,name,min_players,max_players,play_time,min_age,published,owned,average_rating,category
2288,Blood Bowl (Second Edition),2,2,180,14,1988,1689,6.16204,Fighting
2290,Ghosts!,2,2,15,6,1980,1521,5.98148,Bluffing
2297,U.S. Patent No. 1,3,6,60,10,2001,717,5.43754,Fighting
2297,U.S. Patent No. 1,3,6,60,10,2001,717,5.43754,Science Fiction
2301,The New Dungeon!,1,6,45,8,1989,765,5.65988,Fighting
2316,X-Bugs,2,2,30,10,2001,860,5.79191,Fighting
2324,Last Frontier: The Vesuvius Incident,1,1,120,12,1993,589,5.72975,Science Fiction
2338,Starship Catan,2,2,60,12,2001,5864,6.57706,Science Fiction
2362,Tower of the Wizard King,2,4,60,10,1993,309,5.53612,Fighting
2368,Battlecars,2,4,90,12,1983,600,5.64994,Fighting
2368,Battlecars,2,4,90,12,1983,600,5.64994,Science Fiction
2376,The Wreck of the B.S.M. Pandora,1,5,120,10,1980,572,5.62101,Science Fiction
2388,Dark Nebula,2,2,90,12,1980,412,5.59678,Science Fiction
2431,Bargain Hunter,2,4,60,9,1981,311,5.37943,Economic
2455,India Rails,2,6,180,12,1998,880,6.00146,Economic
2458,Battle Cattle: The Card Game,2,6,30,10,2001,421,5.45292,Fighting
2476,Industrial Waste,2,4,60,12,2001,1281,6.26193,Economic
2502,Global Survival,2,8,0,14,1992,162,5.11741,Economic
2517,Ulcers,2,4,90,10,1969,305,5.47774,Economic
2520,Renegade Legion: Interceptor,2,4,120,12,1987,496,5.67674,Science Fiction
2524,StarForce 'Alpha Centauri': Interstellar Conflict in the 25th Century,1,3,240,12,1974,841,5.61857,Science Fiction
2535,Valley of the Mammoths,3,6,180,12,1991,1446,5.95524,Fighting
2536,Vabanque,3,6,30,12,2001,513,5.69542,Bluffing
2562,Samurai & Katana,3,6,120,12,1999,479,5.59113,Economic
2569,Pick Picknic,2,6,30,8,2001,2778,6.24374,Bluffing
2583,18GA,3,5,240,14,1998,249,5.78047,Economic
2608,King Oil,2,4,60,9,1974,706,5.62417,Economic
2612,18AL,3,5,180,14,1999,606,6.16607,Economic
2613,Intruder,1,2,30,10,1980,608,5.68776,Science Fiction
2641,"Barbarian, Kingdom & Empire",1,6,180,0,1983,204,5.63593,Economic
2651,Power Grid,2,6,120,12,2004,47983,7.86513,Economic
2652,Wise and Otherwise,2,6,45,12,1997,1283,6.01252,Bluffing
2653,Survive: Escape from Atlantis!,2,4,60,8,1982,19412,7.18274,Bluffing
2678,Voyage of the B.S.M. Pandora,1,1,90,10,1981,669,5.71901,Science Fiction
2689,British Rails,2,6,180,12,1984,1017,6.02536,Economic
2740,Jumbo Jet,2,6,240,10,1975,392,5.37329,Economic
2750,Imaginiff,3,8,30,12,1998,2224,5.50869,Bluffing
2760,Knights of the Dinner Table: Orcs at the Gates,2,5,60,10,1998,249,5.50514,Fighting
2773,Knights of the Dinner Table: HACK!,2,5,30,10,2001,642,5.59233,Fighting
2795,Car Wars,2,8,45,10,1981,3929,6.02088,Fighting
2795,Car Wars,2,8,45,10,1981,3929,6.02088,Science Fiction
2802,War in Europe,2,3,360,14,1976,333,5.67548,Economic
2809,Star Force Terra #1: Contact!,2,6,60,10,1991,235,5.56317,Science Fiction
2817,Delta V,2,4,60,12,2001,593,5.39792,Science Fiction
2844,Throneworld,2,6,270,0,1997,576,5.66265,Science Fiction
2856,BrewMaster: The Craft Beer Game,2,5,60,16,2001,173,5.53165,Economic
2876,Mage Knight Dungeons,2,4,60,10,2002,1097,5.92163,Fighting
2891,Starfire,2,3,30,10,1979,555,5.73113,Science Fiction
2902,Twilight Imperium: Armada,2,6,45,12,2001,236,5.61256,Fighting
2902,Twilight Imperium: Armada,2,6,45,12,2001,236,5.61256,Science Fiction
2904,John Prados' Third Reich,2,5,360,12,2001,638,5.67898,Economic
2916,File 13,1,4,30,10,1983,217,5.46561,Economic
2919,Search for the Emperor's Treasure,2,10,60,10,1981,296,5.68812,Economic
2929,Monopoly: The .com Edition,2,8,60,8,2000,358,5.40133,Economic
2942,Admirals,2,2,30,7,1972,324,5.49707,Bluffing
2942,Admirals,2,2,30,7,1972,324,5.49707,Fighting
2947,Broker,2,6,75,12,1961,691,5.56262,Economic
2960,Camden,2,4,20,10,2002,991,5.73621,Economic
2961,Confusion:  Espionage and Deception in the Cold War,2,2,45,12,1992,1788,6.42282,Bluffing
2965,Kendo,2,4,30,10,1976,383,5.58133,Fighting
2968,Ka-Ching!,2,4,20,8,2001,686,5.80571,Economic
2970,Squatter,2,6,90,10,1962,360,5.49311,Economic
2972,Fantasy Business,3,8,45,12,2002,701,5.50637,Bluffing
2972,Fantasy Business,3,8,45,12,2002,701,5.50637,Economic
2978,Stratego 4,2,4,45,8,1995,585,5.62558,Bluffing
2987,Pirate's Cove,3,5,90,8,2002,8748,6.43553,Fighting
